wavelength_nm,value
414.13,0.0244
417.32,0.0251
420.52,0.0208
423.72,0.0238
426.91,0.028
430.11,0.0306
433.31,0.0239
436.5,0.0279
439.7,0.0282
442.9,0.0266
446.09,0.0304
449.29,0.0263
452.49,0.0286
455.68,0.0273
458.88,0.0299
462.08,0.0283
465.27,0.0289
468.47,0.0272
471.67,0.0282
474.86,0.0296
478.06,0.0313
481.26,0.0313
484.45,0.0311
487.65,0.0313
490.85,0.032
494.04,0.0318
497.24,0.0343
500.43,0.0356
503.63,0.0355
506.83,0.0362
510.03,0.0366
513.22,0.0402
516.42,0.0426
519.61,0.0427
522.81,0.0441
526.01,0.0498
529.2,0.0486
532.4,0.0547
535.6,0.0552
538.79,0.0589
541.99,0.0599
545.19,0.0605
548.38,0.0605
551.58,0.0593
554.78,0.0599
557.97,0.063
561.17,0.06
564.37,0.0603
567.56,0.0614
570.76,0.0605
573.96,0.0574
577.15,0.0561
580.35,0.0553
583.55,0.054
586.74,0.0567
589.94,0.0579
593.14,0.0552
596.33,0.0558
599.53,0.0555
602.73,0.0576
605.92,0.0579
609.12,0.0577
612.32,0.0553
615.51,0.0564
618.71,0.0564
621.91,0.0554
625.1,0.0575
628.3,0.0553
631.5,0.0554
634.69,0.0566
637.89,0.0578
641.09,0.0587
644.28,0.0583
647.48,0.0578
650.67,0.0545
653.87,0.0534
657.07,0.0553
660.27,0.049
663.46,0.0515
666.66,0.0502
669.85,0.0507
673.05,0.0502
676.25,0.0482
679.45,0.0478
682.64,0.051
685.84,0.0576
689.03,0.0671
692.23,0.0766
695.43,0.0861
698.62,0.0956
701.82,0.1051
705.02,0.1146
708.21,0.1241
711.41,0.1336
714.61,0.1431
717.8,0.1526
721.0,0.1621
724.2,0.1716
727.39,0.1811
730.59,0.1906
733.79,0.2001
736.98,0.2096
740.18,0.2191
743.38,0.2241
746.57,0.2345
749.77,0.2361
752.97,0.2383
756.16,0.2405
759.36,0.2427
762.56,0.2449
765.75,0.2471
768.95,0.2493
772.15,0.2515
775.34,0.2633
778.54,0.2684
781.74,0.2671
784.93,0.2633
788.13,0.2734
791.33,0.2741
794.52,0.2749
797.72,0.2756
800.92,0.2763
804.11,0.277
807.31,0.2777
810.51,0.2785
813.7,0.2792
816.9,0.2799
820.1,0.2806
823.29,0.2813
826.49,0.2821
829.68,0.2828
832.88,0.2835
836.08,0.2842
839.28,0.2849
842.47,0.2857
845.67,0.2867
848.86,0.2922
852.06,0.288
855.26,0.2938
858.46,0.2818
861.65,0.2865
864.85,0.3011
868.04,0.2949
871.24,0.2835
874.44,0.292
877.63,0.2924
880.83,0.2949
884.03,0.3046
887.22,0.2995
890.42,0.3029
893.62,0.3054
896.81,0.3055
900.01,0.3045
903.21,0.3036
906.4,0.3026
909.6,0.3016
912.8,0.3006
915.99,0.2996
919.19,0.2985
922.39,0.2974
925.58,0.2963
928.78,0.2952
931.98,0.2941
935.17,0.2925
938.37,0.291
941.57,0.2894
944.76,0.2882
947.96,0.2869
951.16,0.2856
954.35,0.2843
957.55,0.283
960.75,0.2818
963.94,0.2804
967.14,0.2791
970.1,0.2776
975.54,0.2764
980.98,0.2743
986.42,0.2723
991.86,0.2703
997.3,0.2686
1002.74,0.2693
1008.18,0.2684
1013.62,0.2748
1019.06,0.2816
1024.5,0.282
1029.95,0.2806
1035.39,0.278
1040.83,0.2779
1046.27,0.2837
1051.71,0.2875
1057.15,0.2945
1062.59,0.2972
1068.03,0.2989
1073.47,0.2907
1078.91,0.2909
1084.35,0.289
1089.79,0.286
1095.23,0.2835
1100.67,0.2811
1106.11,0.2786
1111.55,0.2762
1116.99,0.2735
1122.43,0.2701
1127.87,0.2659
1133.32,0.2611
1138.76,0.2557
1144.2,0.2503
1149.64,0.2452
1155.08,0.2401
1160.52,0.2353
1165.96,0.2315
1171.4,0.2281
1176.84,0.2249
1182.28,0.2227
1187.72,0.2295
1193.16,0.2363
1198.6,0.2555
1204.04,0.2449
1209.48,0.2523
1214.92,0.249
1220.36,0.2561
1225.8,0.2629
1231.24,0.2629
1236.69,0.2699
1242.13,0.276
1247.57,0.2787
1253.01,0.2821
1258.45,0.2908
1263.89,0.2942
1269.33,0.2836
1274.77,0.2698
1280.21,0.2809
1285.65,0.2788
1291.09,0.2836
1296.53,0.2812
1301.97,0.2825
1307.41,0.2754
1312.85,0.2741
1318.29,0.2545
1323.73,0.251
1329.17,0.2928
1334.61,0.2765
1340.06,0.2678
1345.5,0.2592
1350.94,0.2482
1356.38,0.2371
1361.82,0.2261
1367.26,0.215
1372.7,0.2042
1378.14,0.1911
1383.58,0.1766
1389.02,0.1627
1394.46,0.1494
1399.9,0.1366
1405.34,0.1261
1410.78,0.1164
1416.22,0.1071
1421.66,0.1006
1427.1,0.0946
1432.54,0.0892
1437.98,0.0847
1443.43,0.0803
1448.87,0.0778
1454.31,0.0758
1459.75,0.0737
1465.19,0.0723
1470.63,0.0706
1476.07,0.0675
1481.51,0.0636
1486.95,0.0676
1492.39,0.0715
1497.83,0.0787
1503.27,0.0936
1508.71,0.0915
1514.15,0.1071
1519.59,0.1116
1525.03,0.119
1530.47,0.1245
1535.91,0.1321
1541.35,0.1384
1546.8,0.1437
1552.24,0.1474
1557.68,0.1517
1563.12,0.1526
1568.56,0.1655
1574.0,0.161
1579.44,0.1586
1584.88,0.1626
1590.32,0.1666
1595.76,0.1677
1601.2,0.1758
1606.64,0.1761
1612.08,0.1795
1617.52,0.1762
1622.96,0.1798
1628.4,0.1857
1633.84,0.1859
1639.28,0.1892
1644.72,0.1878
1650.17,0.1898
1655.61,0.1905
1661.05,0.193
1666.49,0.193
1671.93,0.1916
1677.37,0.1967
1682.81,0.1957
1688.25,0.1929
1693.69,0.1901
1699.13,0.1888
1704.57,0.1881
1710.01,0.1848
1715.45,0.1838
1720.89,0.1825
1726.33,0.1779
1731.77,0.1744
1737.21,0.1807
1742.65,0.1724
1748.09,0.1736
1753.54,0.1702
1758.98,0.1629
1764.42,0.1636
1769.86,0.1458
1775.3,0.151
1780.74,0.1403
1786.18,0.1378
1791.62,0.1349
1797.06,0.1312
1802.5,0.1258
1807.94,0.1035
1813.38,0.0819
1818.82,0.061
1824.26,0.041
1829.7,0.0372
1835.14,0.036
1840.58,0.0348
1846.02,0.0336
1851.46,0.0326
1856.91,0.0318
1862.35,0.031
1867.79,0.0302
1873.23,0.0294
1878.67,0.0286
1884.11,0.0278
1889.55,0.027
1894.99,0.0262
1900.43,0.0254
1905.87,0.0248
1911.31,0.0242
1916.75,0.0235
1922.19,0.0229
1927.63,0.0225
1933.07,0.022
1938.51,0.0216
1943.95,0.0211
1949.39,0.0207
1954.83,0.0224
1960.28,0.0239
1965.72,0.0253
1971.16,0.025
1976.6,0.0243
1982.04,0.0241
1987.48,0.0364
1992.92,0.0486
1998.36,0.0429
2003.8,0.0538
2009.24,0.0552
2014.68,0.0665
2020.12,0.0699
2025.56,0.07
2031.0,0.0694
2036.44,0.0686
2041.88,0.0709
2047.32,0.0655
2052.76,0.0756
2058.2,0.0729
2063.65,0.0765
2069.09,0.0812
2074.53,0.0838
2079.97,0.0816
2085.41,0.0849
2090.85,0.0834
2096.29,0.0836
2101.73,0.0875
2107.17,0.0855
2112.61,0.0883
2118.05,0.0898
2123.49,0.0917
2128.93,0.095
2134.37,0.096
2139.81,0.0962
2145.25,0.0955
2150.69,0.099
2156.13,0.1003
2161.57,0.0981
2167.02,0.1011
2172.46,0.1019
2177.9,0.1023
2183.34,0.1016
2188.78,0.1056
2194.22,0.1007
2199.66,0.1067
2205.1,0.1068
2210.54,0.1089
2215.98,0.1072
2221.42,0.1049
2226.86,0.1019
2232.3,0.1013
2237.74,0.1035
2243.18,0.098
2248.62,0.0988
2254.06,0.0972
2259.5,0.0921
2264.94,0.0902
2270.39,0.0905
2275.83,0.0897
2281.27,0.0889
2286.71,0.085
2292.15,0.0796
2297.59,0.083
2303.03,0.0823
2308.47,0.0795
2313.91,0.0719
2319.35,0.0808
2324.79,0.0761
2330.23,0.0712
2335.67,0.0628
2341.11,0.069
2346.55,0.0586
2351.99,0.0727
2357.43,0.0676
2362.87,0.0579
2368.32,0.0576
2373.76,0.0624
2379.2,0.0479
2384.64,0.0735
2390.08,0.0598
2395.52,0.0538
2400.96,0.0458
2406.4,0.0488
2411.84,0.0424
2417.28,0.0541
2422.72,0.049
2428.16,0.04
2433.6,0.0547
2439.04,0.0434
2444.48,0.0276
