wavelength_nm,value
414.13,0.0201
417.32,0.0229
420.52,0.02
423.72,0.0233
426.91,0.0246
430.11,0.0283
433.31,0.0226
436.5,0.0279
439.7,0.0287
442.9,0.0302
446.09,0.0276
449.29,0.0272
452.49,0.0274
455.68,0.0268
458.88,0.0275
462.08,0.0286
465.27,0.0271
468.47,0.0282
471.67,0.0259
474.86,0.0286
478.06,0.0301
481.26,0.0314
484.45,0.0313
487.65,0.0281
490.85,0.0287
494.04,0.0305
497.24,0.0308
500.43,0.0329
503.63,0.0316
506.83,0.0334
510.03,0.0351
513.22,0.037
516.42,0.04
519.61,0.039
522.81,0.0414
526.01,0.0452
529.2,0.0452
532.4,0.0501
535.6,0.0497
538.79,0.0519
541.99,0.053
545.19,0.054
548.38,0.0548
551.58,0.0542
554.78,0.054
557.97,0.0558
561.17,0.0537
564.37,0.0521
567.56,0.05
570.76,0.0515
573.96,0.0467
577.15,0.0465
580.35,0.0443
583.55,0.0455
586.74,0.0445
589.94,0.0458
593.14,0.0431
596.33,0.0437
599.53,0.0442
602.73,0.0435
605.92,0.0433
609.12,0.0419
612.32,0.0415
615.51,0.0405
618.71,0.0406
621.91,0.0403
625.1,0.0398
628.3,0.0395
631.5,0.0396
634.69,0.0389
637.89,0.0383
641.09,0.0395
644.28,0.0388
647.48,0.0395
650.67,0.0364
653.87,0.0364
657.07,0.0365
660.27,0.0327
663.46,0.0322
666.66,0.0346
669.85,0.033
673.05,0.0335
676.25,0.0317
679.45,0.0342
682.64,0.0327
685.84,0.0374
689.03,0.0492
692.23,0.0609
695.43,0.0727
698.62,0.0844
701.82,0.0962
705.02,0.1079
708.21,0.1196
711.41,0.1314
714.61,0.1431
717.8,0.1549
721.0,0.1666
724.2,0.1784
727.39,0.1901
730.59,0.2019
733.79,0.2136
736.98,0.2254
740.18,0.2371
743.38,0.255
746.57,0.2644
749.77,0.279
752.97,0.2829
756.16,0.2868
759.36,0.2907
762.56,0.2945
765.75,0.2984
768.95,0.3023
772.15,0.3062
775.34,0.3099
778.54,0.311
781.74,0.3086
784.93,0.3185
788.13,0.314
791.33,0.3152
794.52,0.3164
797.72,0.3176
800.92,0.3188
804.11,0.3201
807.31,0.3213
810.51,0.3225
813.7,0.3237
816.9,0.3249
820.1,0.3262
823.29,0.3274
826.49,0.3286
829.68,0.3298
832.88,0.331
836.08,0.3322
839.28,0.3335
842.47,0.3347
845.67,0.335
848.86,0.3457
852.06,0.3381
855.26,0.3404
858.46,0.332
861.65,0.3403
864.85,0.3541
868.04,0.3408
871.24,0.3318
874.44,0.3367
877.63,0.3432
880.83,0.3509
884.03,0.3451
887.22,0.3474
890.42,0.3487
893.62,0.3669
896.81,0.3674
900.01,0.364
903.21,0.3609
906.4,0.3572
909.6,0.3537
912.8,0.3503
915.99,0.3466
919.19,0.3427
922.39,0.3385
925.58,0.3346
928.78,0.3307
931.98,0.3267
935.17,0.3217
938.37,0.317
941.57,0.3124
944.76,0.3083
947.96,0.3038
951.16,0.2992
954.35,0.2947
957.55,0.2906
960.75,0.2867
963.94,0.2827
967.14,0.2787
970.1,0.2747
975.54,0.2712
980.98,0.265
986.42,0.2592
991.86,0.2535
997.3,0.2474
1002.74,0.2437
1008.18,0.2396
1013.62,0.2474
1019.06,0.254
1024.5,0.2578
1029.95,0.256
1035.39,0.2532
1040.83,0.2528
1046.27,0.2591
1051.71,0.2652
1057.15,0.272
1062.59,0.2756
1068.03,0.2778
1073.47,0.2689
1078.91,0.2706
1084.35,0.2701
1089.79,0.2647
1095.23,0.2614
1100.67,0.2589
1106.11,0.2558
1111.55,0.2526
1116.99,0.2489
1122.43,0.2445
1127.87,0.2398
1133.32,0.234
1138.76,0.2265
1144.2,0.2187
1149.64,0.2119
1155.08,0.2062
1160.52,0.2009
1165.96,0.1964
1171.4,0.1927
1176.84,0.1892
1182.28,0.1865
1187.72,0.1904
1193.16,0.1942
1198.6,0.2095
1204.04,0.1968
1209.48,0.203
1214.92,0.2028
1220.36,0.21
1225.8,0.2163
1231.24,0.2183
1236.69,0.2274
1242.13,0.2319
1247.57,0.2338
1253.01,0.24
1258.45,0.2489
1263.89,0.2539
1269.33,0.2426
1274.77,0.2294
1280.21,0.2403
1285.65,0.2373
1291.09,0.2437
1296.53,0.2439
1301.97,0.2429
1307.41,0.2348
1312.85,0.2343
1318.29,0.2135
1323.73,0.2088
1329.17,0.2482
1334.61,0.2346
1340.06,0.2256
1345.5,0.2167
1350.94,0.2052
1356.38,0.1937
1361.82,0.1828
1367.26,0.1727
1372.7,0.1629
1378.14,0.1507
1383.58,0.137
1389.02,0.124
1394.46,0.1115
1399.9,0.0998
1405.34,0.0903
1410.78,0.0818
1416.22,0.0737
1421.66,0.068
1427.1,0.0628
1432.54,0.0582
1437.98,0.0548
1443.43,0.0513
1448.87,0.0489
1454.31,0.0468
1459.75,0.0445
1465.19,0.0429
1470.63,0.0408
1476.07,0.038
1481.51,0.0346
1486.95,0.0346
1492.39,0.0346
1497.83,0.0405
1503.27,0.048
1508.71,0.0482
1514.15,0.0549
1519.59,0.058
1525.03,0.0627
1530.47,0.0649
1535.91,0.0698
1541.35,0.0729
1546.8,0.0765
1552.24,0.078
1557.68,0.0821
1563.12,0.0829
1568.56,0.089
1574.0,0.088
1579.44,0.0865
1584.88,0.0901
1590.32,0.0924
1595.76,0.0944
1601.2,0.0999
1606.64,0.101
1612.08,0.1027
1617.52,0.1007
1622.96,0.1046
1628.4,0.1071
1633.84,0.108
1639.28,0.1113
1644.72,0.1095
1650.17,0.1096
1655.61,0.1105
1661.05,0.1119
1666.49,0.1111
1671.93,0.1101
1677.37,0.1126
1682.81,0.111
1688.25,0.1092
1693.69,0.1067
1699.13,0.1051
1704.57,0.1018
1710.01,0.1
1715.45,0.098
1720.89,0.0991
1726.33,0.0945
1731.77,0.0943
1737.21,0.0961
1742.65,0.0938
1748.09,0.0922
1753.54,0.0911
1758.98,0.0877
1764.42,0.0886
1769.86,0.0781
1775.3,0.0824
1780.74,0.0768
1786.18,0.0747
1791.62,0.0726
1797.06,0.0703
1802.5,0.0671
1807.94,0.0552
1813.38,0.0437
1818.82,0.0326
1824.26,0.022
1829.7,0.0196
1835.14,0.0186
1840.58,0.0176
1846.02,0.0167
1851.46,0.0158
1856.91,0.0153
1862.35,0.0147
1867.79,0.0142
1873.23,0.0137
1878.67,0.0131
1884.11,0.0125
1889.55,0.0119
1894.99,0.0114
1900.43,0.0109
1905.87,0.0107
1911.31,0.0105
1916.75,0.0102
1922.19,0.0101
1927.63,0.0101
1933.07,0.01
1938.51,0.01
1943.95,0.0098
1949.39,0.0098
1954.83,0.0103
1960.28,0.0107
1965.72,0.0111
1971.16,0.0109
1976.6,0.0107
1982.04,0.0105
1987.48,0.016
1992.92,0.0215
1998.36,0.0202
2003.8,0.0405
2009.24,0.0266
2014.68,0.0335
2020.12,0.0291
2025.56,0.03
2031.0,0.0308
2036.44,0.0299
2041.88,0.031
2047.32,0.0324
2052.76,0.0293
2058.2,0.0321
2063.65,0.0338
2069.09,0.0341
2074.53,0.0356
2079.97,0.0349
2085.41,0.0354
2090.85,0.0379
2096.29,0.0365
2101.73,0.0372
2107.17,0.0356
2112.61,0.0377
2118.05,0.0393
2123.49,0.0402
2128.93,0.0413
2134.37,0.04
2139.81,0.041
2145.25,0.0403
2150.69,0.0418
2156.13,0.0424
2161.57,0.0415
2167.02,0.0413
2172.46,0.0424
2177.9,0.0436
2183.34,0.0455
2188.78,0.0462
2194.22,0.0436
2199.66,0.0488
2205.1,0.0479
2210.54,0.0463
2215.98,0.0475
2221.42,0.0446
2226.86,0.0472
2232.3,0.0442
2237.74,0.0445
2243.18,0.0441
2248.62,0.0426
2254.06,0.0443
2259.5,0.0414
2264.94,0.0369
2270.39,0.0382
2275.83,0.0361
2281.27,0.0363
2286.71,0.0354
2292.15,0.0347
2297.59,0.0311
2303.03,0.0326
2308.47,0.0307
2313.91,0.0295
2319.35,0.0325
2324.79,0.0322
2330.23,0.0304
2335.67,0.0278
2341.11,0.0262
2346.55,0.0232
2351.99,0.0318
2357.43,0.0272
2362.87,0.0264
2368.32,0.0295
2373.76,0.0251
2379.2,0.0289
2384.64,0.0252
2390.08,0.0304
2395.52,0.0229
2400.96,0.0169
2406.4,0.0223
2411.84,0.0146
2417.28,0.0191
2422.72,0.024
2428.16,0.0146
