wavelength_nm,value
414.13,0.0148
417.32,0.0166
420.52,0.0173
423.72,0.0189
426.91,0.0185
430.11,0.0197
433.31,0.0165
436.5,0.0177
439.7,0.0192
442.9,0.0207
446.09,0.02
449.29,0.0185
452.49,0.0198
455.68,0.019
458.88,0.0199
462.08,0.0199
465.27,0.0189
468.47,0.0191
471.67,0.0186
474.86,0.0205
478.06,0.0212
481.26,0.0208
484.45,0.0208
487.65,0.0208
490.85,0.0207
494.04,0.0209
497.24,0.0221
500.43,0.024
503.63,0.0224
506.83,0.0233
510.03,0.0223
513.22,0.0256
516.42,0.0256
519.61,0.0255
522.81,0.0258
526.01,0.029
529.2,0.0273
532.4,0.0279
535.6,0.0287
538.79,0.0318
541.99,0.0324
545.19,0.0315
548.38,0.0328
551.58,0.0315
554.78,0.0313
557.97,0.0346
561.17,0.0337
564.37,0.0344
567.56,0.0342
570.76,0.035
573.96,0.0337
577.15,0.0337
580.35,0.0353
583.55,0.0344
586.74,0.0356
589.94,0.0334
593.14,0.0339
596.33,0.0326
599.53,0.0316
602.73,0.0334
605.92,0.0322
609.12,0.0321
612.32,0.0319
615.51,0.0308
618.71,0.031
621.91,0.0307
625.1,0.0297
628.3,0.0285
631.5,0.0287
634.69,0.0289
637.89,0.0287
641.09,0.0299
644.28,0.0309
647.48,0.0298
650.67,0.0286
653.87,0.0273
657.07,0.0263
660.27,0.0248
663.46,0.0245
666.66,0.0222
669.85,0.0226
673.05,0.0229
676.25,0.0224
679.45,0.0236
682.64,0.0235
685.84,0.027
689.03,0.0267
692.23,0.0265
695.43,0.0262
698.62,0.0259
701.82,0.0256
705.02,0.0253
708.21,0.025
711.41,0.0247
714.61,0.0245
717.8,0.0242
721.0,0.0239
724.2,0.0236
727.39,0.0233
730.59,0.023
733.79,0.0227
736.98,0.0225
740.18,0.0222
743.38,0.022
746.57,0.0215
749.77,0.0223
752.97,0.0224
756.16,0.0225
759.36,0.0226
762.56,0.0227
765.75,0.0228
768.95,0.0229
772.15,0.023
775.34,0.024
778.54,0.0232
781.74,0.0241
784.93,0.0234
788.13,0.0236
791.33,0.0234
794.52,0.0231
797.72,0.0229
800.92,0.0226
804.11,0.0224
807.31,0.0221
810.51,0.0219
813.7,0.0216
816.9,0.0214
820.1,0.0211
823.29,0.0209
826.49,0.0207
829.68,0.0204
832.88,0.0202
836.08,0.0199
839.28,0.0197
842.47,0.0194
845.67,0.0193
848.86,0.0202
852.06,0.0166
855.26,0.0192
858.46,0.0193
861.65,0.0179
864.85,0.0204
868.04,0.0186
871.24,0.0169
874.44,0.0186
877.63,0.0185
880.83,0.0193
884.03,0.0183
887.22,0.0221
890.42,0.0169
893.62,0.0196
896.81,0.0196
900.01,0.0193
903.21,0.0191
906.4,0.0188
909.6,0.0185
912.8,0.0183
915.99,0.018
919.19,0.0177
922.39,0.0175
925.58,0.0172
928.78,0.017
931.98,0.0167
935.17,0.0164
938.37,0.0162
941.57,0.0159
944.76,0.0157
947.96,0.0154
951.16,0.0151
954.35,0.0149
957.55,0.0146
960.75,0.0144
963.94,0.0141
967.14,0.0138
970.1,0.0136
975.54,0.0133
980.98,0.0129
986.42,0.0124
991.86,0.012
997.3,0.0116
1002.74,0.0111
1008.18,0.0112
1013.62,0.0108
1019.06,0.0122
1024.5,0.0122
1029.95,0.0103
1035.39,0.0105
1040.83,0.0111
1046.27,0.0111
1051.71,0.0118
1057.15,0.0118
1062.59,0.0119
1068.03,0.0119
1073.47,0.0114
1078.91,0.0116
1084.35,0.0115
1089.79,0.0114
1095.23,0.0114
1100.67,0.0113
1106.11,0.0113
1111.55,0.0112
1116.99,0.0112
1122.43,0.0111
1127.87,0.0111
1133.32,0.011
1138.76,0.011
1144.2,0.0109
1149.64,0.0109
1155.08,0.0108
1160.52,0.0108
1165.96,0.0107
1171.4,0.0106
1176.84,0.0106
1182.28,0.0105
1187.72,0.0105
1193.16,0.0104
1198.6,0.011
1204.04,0.011
1209.48,0.01
1214.92,0.01
1220.36,0.0109
1225.8,0.0114
1231.24,0.0106
1236.69,0.0109
1242.13,0.0119
1247.57,0.0122
1253.01,0.0121
1258.45,0.0126
1263.89,0.0131
1269.33,0.0132
1274.77,0.0117
1280.21,0.0122
1285.65,0.012
1291.09,0.0111
1296.53,0.0115
1301.97,0.0117
1307.41,0.0112
1312.85,0.0116
1318.29,0.0113
1323.73,0.0122
1329.17,0.0157
1334.61,0.0153
1340.06,0.0149
1345.5,0.0144
1350.94,0.014
1356.38,0.0135
1361.82,0.013
1367.26,0.0126
1372.7,0.0122
1378.14,0.0117
1383.58,0.0113
1389.02,0.011
1394.46,0.0106
1399.9,0.0102
1405.34,0.0099
1410.78,0.0095
1416.22,0.0091
1421.66,0.0088
1427.1,0.0084
1432.54,0.0081
1437.98,0.0077
