wavelength_nm,mean,std,min,max,n_pixels,class_name
414.13,0.03372340304105005,0.03266246827551359,0.0056,0.5113,24531,urban
417.32,0.03440322041498507,0.0339591915992127,0.0062,0.4988,24531,urban
420.52,0.0349567649097059,0.03478366193460742,0.0067,0.5248,24531,urban
423.72,0.0356739227915695,0.03552473972928811,0.0065,0.5186,24531,urban
426.91,0.03725866862337466,0.036735946512491756,0.0077,0.5446,24531,urban
430.11,0.040311157311156996,0.03880001317355957,0.0084,0.5683,24531,urban
433.31,0.035192279156984994,0.03589627603826192,0.0066,0.5308,24531,urban
436.5,0.03740130039541825,0.03754761707272636,0.0079,0.5462,24531,urban
439.7,0.03738765643471546,0.03752635306246954,0.0068,0.5527,24531,urban
442.9,0.03734842036606722,0.03766130281293302,0.007,0.5596,24531,urban
446.09,0.038504639028168294,0.038565748588745175,0.0078,0.567,24531,urban
449.29,0.036837332354979185,0.037398911603368404,0.0065,0.5546,24531,urban
452.49,0.038882377400024655,0.03868250769560408,0.0076,0.5707,24531,urban
455.68,0.03808215319391817,0.038230819334005565,0.0074,0.5619,24531,urban
458.88,0.039937744078920534,0.039433750096429326,0.0078,0.5787,24531,urban
462.08,0.03924189800660395,0.03878849144762213,0.0072,0.5715,24531,urban
465.27,0.03899420732950143,0.03864509683584914,0.007,0.5643,24531,urban
468.47,0.03822157270392554,0.03813523826091396,0.0075,0.5518,24531,urban
471.67,0.03870946965064606,0.03828005400278025,0.0069,0.5616,24531,urban
474.86,0.0398065345888874,0.03902760276416609,0.0077,0.5705,24531,urban
478.06,0.04148621743915842,0.04027089153291667,0.0078,0.5842,24531,urban
481.26,0.04227693122987246,0.040745452151006174,0.0085,0.5892,24531,urban
484.45,0.04280092943622371,0.04106082663377233,0.0089,0.5947,24531,urban
487.65,0.04211249031837289,0.040686149581305946,0.0082,0.5901,24531,urban
490.85,0.04123432799315122,0.040787938695461844,0.0078,1.5,24531,urban
494.04,0.04124405853817606,0.0405345166143606,0.0078,1.5,24531,urban
497.24,0.043536150177326725,0.04280301335160999,0.0079,1.5,24531,urban
500.43,0.04590247442012122,0.04431995011254072,0.0091,1.5,24531,urban
503.63,0.04365017732664767,0.04251085209365778,0.0078,1.5,24531,urban
506.83,0.04461671354612548,0.042593222642352074,0.0085,1.5,24531,urban
510.03,0.045779854062206936,0.0435939078405496,0.0087,1.5,24531,urban
513.22,0.0480717541070485,0.04436182865664978,0.0095,1.5,24531,urban
516.42,0.05142827850474883,0.04488489806976324,0.0103,1.5,24531,urban
519.61,0.049204993681464415,0.0422059909704579,0.0094,1.5,24531,urban
522.81,0.04982144633321122,0.04223627316388031,0.0098,1.5,24531,urban
526.01,0.05370161020749274,0.04439906585473162,0.0105,1.5,24531,urban
529.2,0.05383570584158828,0.045390454895807265,0.0099,1.5,24531,urban
