wavelength_nm,mean,std,min,max,n_pixels,class_name
414.13,0.01826656065424805,0.0017850335958326416,0.0125,0.0248,2201,water
417.32,0.018516265333939127,0.0017343138151920186,0.0128,0.0252,2201,water
420.52,0.018718355293048633,0.001695209620473479,0.0129,0.0249,2201,water
423.72,0.018779691049522967,0.0016346673542502927,0.0131,0.025,2201,water
426.91,0.019948205361199463,0.00158812287868654,0.0154,0.0258,2201,water
430.11,0.021403861880963194,0.0017247393971806743,0.0158,0.0278,2201,water
433.31,0.018144070876874127,0.001537794336193475,0.0134,0.0234,2201,water
436.5,0.019688368923216716,0.0014761870792432523,0.0149,0.0267,2201,water
439.7,0.019663425715583813,0.0014709653246800696,0.0153,0.0252,2201,water
442.9,0.019549659245797348,0.001410019703994235,0.0151,0.025,2201,water
446.09,0.01943189459336663,0.0013766561925625366,0.0152,0.0247,2201,water
449.29,0.01849809177646523,0.0013084953165340104,0.0144,0.024,2201,water
452.49,0.01944747841890048,0.0013554014006634453,0.0157,0.0259,2201,water
455.68,0.018563107678328056,0.0013229107616918442,0.0141,0.0242,2201,water
458.88,0.0198796910495229,0.001366465611767316,0.0163,0.025,2201,water
462.08,0.019453475692866855,0.0013584643587772351,0.0151,0.0262,2201,water
465.27,0.01887373920945026,0.0013381537699223328,0.0151,0.0245,2201,water
468.47,0.01846724216265324,0.0013326235504596765,0.0153,0.0254,2201,water
471.67,0.018801681054066318,0.0013765939158431506,0.0151,0.0254,2201,water
474.86,0.01931576556110859,0.0014004646850614706,0.0161,0.0248,2201,water
478.06,0.02028827805542934,0.0014341734353452726,0.0168,0.0277,2201,water
481.26,0.02109418446160833,0.0015138820599415969,0.0171,0.0297,2201,water
484.45,0.021459518400726983,0.0015228655837395827,0.0175,0.0279,2201,water
487.65,0.020470876874148107,0.0014863657948825382,0.0167,0.0269,2201,water
490.85,0.020418218991367542,0.0015431961252905912,0.017,0.0277,2201,water
494.04,0.02038868696047252,0.0016572332234666665,0.0166,0.028,2201,water
497.24,0.021860563380281695,0.0017688358911247515,0.018,0.0301,2201,water
500.43,0.023040890504316215,0.0018432850929561524,0.0188,0.0312,2201,water
503.63,0.02183757383007726,0.0018082792730122416,0.0178,0.0305,2201,water
506.83,0.022955883689232185,0.0020085823026367616,0.0183,0.0317,2201,water
510.03,0.023615220354384396,0.0020377483248705495,0.0188,0.0322,2201,water
513.22,0.024719354838709653,0.002094194950970103,0.0199,0.0335,2201,water
516.42,0.026585052248977697,0.0022127356802046426,0.0214,0.0377,2201,water
519.61,0.02513939118582464,0.0020921427450201497,0.0202,0.035,2201,water
522.81,0.025571785552021803,0.0020418972775761786,0.0209,0.0354,2201,water
526.01,0.027087596547024053,0.0021504007433852394,0.0221,0.0388,2201,water
529.2,0.026667378464334396,0.002059622402919701,0.022,0.0382,2201,water
532.4,0.028199363925488455,0.0021067876354012834,0.0231,0.0408,2201,water
535.6,0.028934847796456165,0.0021089093663455316,0.0241,0.0407,2201,water
538.79,0.030429032258064526,0.0022216409617779845,0.0253,0.0435,2201,water
541.99,0.030562971376647,0.002197776993318953,0.0252,0.042,2201,water
545.19,0.030867651067696508,0.0022080942787040246,0.0258,0.0446,2201,water
548.38,0.031350386188096296,0.002222406780102503,0.0257,0.0449,2201,water
551.58,0.03192149023171278,0.002246592724351504,0.0266,0.0445,2201,water
554.78,0.03267764652430711,0.0022728036559796555,0.0271,0.0461,2201,water
557.97,0.034230622444343585,0.0023614302337249663,0.0281,0.0475,2201,water
561.17,0.03363457519309402,0.0023231188702617506,0.0281,0.0491,2201,water
564.37,0.03391458427987274,0.0023404177797813207,0.0282,0.0483,2201,water
567.56,0.034331303952748755,0.002357964565010135,0.0287,0.0477,2201,water
570.76,0.03493771013175833,0.002411464102522856,0.0292,0.0491,2201,water
573.96,0.03452467060427079,0.002375977347820936,0.0284,0.0469,2201,water
577.15,0.03390395274875058,0.002347729620010667,0.0284,0.0445,2201,water
580.35,0.03394457064970483,0.0023172669657538928,0.0284,0.0459,2201,water
583.55,0.034304543389368516,0.002310369368944614,0.0289,0.0476,2201,water
586.74,0.03467928214447972,0.0023780679004172206,0.0291,0.0477,2201,water
589.94,0.0342880508859608,0.0023794055539434356,0.0288,0.0484,2201,water
593.14,0.03354566106315303,0.0023307647070468546,0.0282,0.0463,2201,water
596.33,0.03328264425261249,0.0022671484903898894,0.0281,0.0464,2201,water
599.53,0.032822398909586575,0.002233849687072773,0.0277,0.0467,2201,water
602.73,0.03295892776010908,0.0022090935069630476,0.0281,0.0459,2201,water
605.92,0.032776010904134484,0.0022508759280594213,0.0277,0.0456,2201,water
609.12,0.0321573375738301,0.002248284598429985,0.0272,0.0464,2201,water
612.32,0.0312676056338028,0.002270744799888984,0.0261,0.0445,2201,water
615.51,0.03086992276238073,0.002301755149176158,0.0255,0.0444,2201,water
618.71,0.02997051340299865,0.0022628015941481387,0.0246,0.044,2201,water
621.91,0.029928805088596123,0.002307004527459697,0.0249,0.0445,2201,water
625.1,0.02998600636074515,0.002350519187900147,0.0246,0.0442,2201,water
628.3,0.0296097682871422,0.0023420426187631327,0.0242,0.0452,2201,water
631.5,0.02885233984552471,0.0023237929857920303,0.0235,0.0434,2201,water
634.69,0.02891567469332123,0.0023509330085077045,0.0233,0.0444,2201,water
637.89,0.028785370286233552,0.002343139785844554,0.0228,0.0435,2201,water
641.09,0.02932835074965922,0.0023511168442041886,0.0242,0.045,2201,water
644.28,0.02976006360745112,0.0023992953123682685,0.0238,0.0447,2201,water
647.48,0.030213039527487516,0.002482117476302065,0.0244,0.044,2201,water
650.67,0.028480190822353462,0.0023639120426505937,0.0229,0.0428,2201,water
653.87,0.028255383916401595,0.0023487442196542963,0.0232,0.0407,2201,water
657.07,0.02727033166742393,0.00225573336773438,0.0226,0.0413,2201,water
660.27,0.02433325761017722,0.002079288071228306,0.0202,0.0378,2201,water
663.46,0.0242068605179464,0.0020821608537743767,0.0198,0.037,2201,water
666.66,0.023172103589277616,0.0019925847946348067,0.019,0.0366,2201,water
669.85,0.022452657882780534,0.001891791713427665,0.0184,0.0352,2201,water
673.05,0.022266197183098586,0.001793950069035378,0.0183,0.0346,2201,water
676.25,0.02233525670149931,0.0017249695754845045,0.0187,0.035,2201,water
679.45,0.022747523852794202,0.0017246223572130043,0.019,0.0365,2201,water
682.64,0.023719400272603323,0.0017059150581485933,0.0198,0.0366,2201,water
685.84,0.027422171740118094,0.0018409580039506998,0.0232,0.042,2201,water
689.03,0.027121671967287545,0.0017673241518748706,0.0232,0.0426,2201,water
692.23,0.026821762835074963,0.0016988963744148592,0.0231,0.0433,2201,water
695.43,0.026520445252158097,0.0016346892898614438,0.023,0.0439,2201,water
698.62,0.02621944570649703,0.0015755039199284793,0.0229,0.0445,2201,water
701.82,0.025918037255792815,0.001522174569033183,0.0228,0.0451,2201,water
705.02,0.025618945933666537,0.0014762144391169262,0.0226,0.0458,2201,water
708.21,0.025317719218537076,0.0014381473167802573,0.0224,0.0464,2201,water
711.41,0.02501553839164011,0.0014087306644645489,0.0221,0.047,2201,water
714.61,0.024715810995002276,0.0013852616716008336,0.0219,0.0476,2201,water
717.8,0.024414493412085413,0.0013743440849025258,0.0216,0.0485,2201,water
721.0,0.02411426624261696,0.00137170962339004,0.0214,0.0501,2201,water
724.2,0.023812766924125397,0.001376865882659872,0.0211,0.0516,2201,water
727.39,0.0235119036801454,0.0013928891040469859,0.0209,0.0532,2201,water
730.59,0.023209813721035914,0.0014172168666448136,0.0207,0.0548,2201,water
733.79,0.022909541117673796,0.0014496488033201899,0.0203,0.0563,2201,water
736.98,0.0226104497955475,0.0014904208762967195,0.02,0.0579,2201,water
740.18,0.022309086778736907,0.0015389190811654506,0.0197,0.0595,2201,water
743.38,0.02236547024079967,0.0015282990750713583,0.0202,0.0584,2201,water
746.57,0.022757746478873266,0.0016208598198788862,0.0197,0.0621,2201,water
749.77,0.02283375738300775,0.001624097207463902,0.0205,0.0639,2201,water
752.97,0.022867105860972278,0.0015920396386588775,0.0208,0.0636,2201,water
756.16,0.022898727850976835,0.001570280293158854,0.021,0.0632,2201,water
759.36,0.022932485233984543,0.0015618240073374144,0.0211,0.0629,2201,water
762.56,0.022965924579736473,0.0015652627347684032,0.021,0.0626,2201,water
765.75,0.022999318491594718,0.0015802227946684355,0.0208,0.0623,2201,water
768.95,0.023032121762835076,0.0016088419029859447,0.0206,0.062,2201,water
772.15,0.023064697864607006,0.001645993348059014,0.0205,0.0616,2201,water
775.34,0.023482689686506124,0.0017093447012679086,0.021,0.0627,2201,water
778.54,0.023637573830077235,0.0016986816605094645,0.0209,0.0627,2201,water
781.74,0.023649659245797396,0.0017255621277024653,0.0207,0.061,2201,water
784.93,0.02389745570195367,0.0017470007743052515,0.0202,0.0651,2201,water
788.13,0.02415088596092686,0.0017067753716473336,0.021,0.0627,2201,water
791.33,0.023933121308496105,0.0016876039303498054,0.021,0.0619,2201,water
794.52,0.023714629713766443,0.0016724898319050523,0.0209,0.061,2201,water
797.72,0.0234972739663789,0.0016610817455389889,0.0208,0.0602,2201,water
800.92,0.02327873693775559,0.0016541277416713591,0.0208,0.0593,2201,water
804.11,0.023062517037710086,0.0016532141773487393,0.0207,0.0585,2201,water
807.31,0.022843298500681532,0.0016557563024580527,0.0206,0.0586,2201,water
810.51,0.022625124943207668,0.0016614315555952173,0.0205,0.0587,2201,water
813.7,0.02240740572467059,0.0016728730439641132,0.0203,0.0589,2201,water
816.9,0.02218923216719673,0.0016877573611644543,0.02,0.059,2201,water
820.1,0.021972376192639732,0.001708335243939985,0.0196,0.0592,2201,water
823.29,0.02175452067242161,0.0017313706497913209,0.0193,0.0593,2201,water
826.49,0.02153643798273512,0.0017598731454522305,0.019,0.0595,2201,water
829.68,0.021319082235347574,0.0017910304989681974,0.0187,0.0596,2201,water
832.88,0.021100136301681092,0.0018270629634258618,0.0182,0.0598,2201,water
836.08,0.02088205361199455,0.0018647253170463317,0.0178,0.0599,2201,water
839.28,0.020664107223989113,0.0019062796311491532,0.0173,0.0601,2201,water
842.47,0.02044643343934575,0.0019502114690112767,0.0169,0.0602,2201,water
845.67,0.020232985006815064,0.0019455059272479535,0.0171,0.0591,2201,water
848.86,0.020479009541117716,0.0020865489385803386,0.0165,0.0634,2201,water
852.06,0.020077601090413417,0.002068029995140014,0.0163,0.0635,2201,water
855.26,0.019853748296229018,0.002053357735355357,0.0161,0.0606,2201,water
858.46,0.019466424352567,0.0020143653139450316,0.0154,0.0615,2201,water
861.65,0.019486142662426188,0.0020595771136111664,0.0155,0.0619,2201,water
864.85,0.020283325761017712,0.002186219033298995,0.016,0.0621,2201,water
868.04,0.019639845524761414,0.002125072784580077,0.0152,0.0594,2201,water
871.24,0.01890672421626533,0.0020422581621153944,0.0147,0.0589,2201,water
874.44,0.019036801453884578,0.0021439342639849746,0.0153,0.0603,2201,water
877.63,0.0189863243980009,0.0022257928479512286,0.0151,0.0615,2201,water
880.83,0.019056701499318453,0.00222265235216489,0.0141,0.0618,2201,water
884.03,0.019092049068605156,0.002247518920812316,0.0151,0.0623,2201,water
887.22,0.019090913221263026,0.002266847857952182,0.0149,0.0601,2201,water
890.42,0.018928805088596033,0.0023736674498435594,0.0143,0.0619,2201,water
