wavelength_nm,mean,std,min,max,n_pixels,class_name
414.13,0.0256388870746522,0.004636513607737207,0.0128,0.0607,15311,field
417.32,0.026552354516360815,0.004657833927074539,0.0114,0.0609,15311,field
420.52,0.027473385147932947,0.004717928369782921,0.0118,0.064,15311,field
423.72,0.02805197570374243,0.004761033716190115,0.0127,0.0637,15311,field
426.91,0.029963869113709102,0.004918941730307412,0.0137,0.0672,15311,field
430.11,0.03283030500947031,0.005332095481675961,0.0143,0.0746,15311,field
433.31,0.028230291946966173,0.004897600890940013,0.0126,0.0665,15311,field
436.5,0.03070434981385924,0.005163955429970018,0.0149,0.0686,15311,field
439.7,0.03165706354908231,0.00533972207581757,0.0149,0.0701,15311,field
442.9,0.0315320357912613,0.00544530512517254,0.0147,0.0748,15311,field
446.09,0.03187847952452487,0.005577473465194894,0.0147,0.0766,15311,field
449.29,0.030562092613153968,0.005549310562344924,0.0139,0.0734,15311,field
452.49,0.032117712755535044,0.005887262187251671,0.0136,0.0773,15311,field
455.68,0.03135410489190761,0.005873390822925066,0.0129,0.0769,15311,field
458.88,0.033404186532558215,0.006242702031233621,0.0142,0.0813,15311,field
462.08,0.032890862778394335,0.006359398439392925,0.0137,0.0794,15311,field
465.27,0.03263399516687338,0.006448401214089695,0.0129,0.0786,15311,field
468.47,0.03227535758604939,0.0064634517495246605,0.0134,0.0773,15311,field
471.67,0.032994637842074216,0.006679270650188822,0.0139,0.0794,15311,field
474.86,0.0338968192802563,0.006794473179023306,0.0133,0.0821,15311,field
478.06,0.035700783750244935,0.006976896231970089,0.0145,0.0846,15311,field
481.26,0.03695104826595251,0.007032201665636966,0.0141,0.0851,15311,field
484.45,0.03754662660832074,0.007238110922287607,0.0149,0.0881,15311,field
487.65,0.036441662856769634,0.007311378234149824,0.0138,0.087,15311,field
490.85,0.03614822676507104,0.007029226981909541,0.0138,0.0875,15311,field
494.04,0.03654870354647001,0.007034186891395708,0.0138,0.0853,15311,field
497.24,0.038694102279406804,0.007317338541675978,0.0139,0.0899,15311,field
500.43,0.040972777741492654,0.007614888789157572,0.0154,0.096,15311,field
503.63,0.03943014172816919,0.007287335630212044,0.0144,0.0921,15311,field
506.83,0.04120777872118077,0.007353901480568773,0.0152,0.094,15311,field
510.03,0.04274276663836471,0.007340244535235016,0.0145,0.0951,15311,field
513.22,0.04542784272745081,0.007395604201499976,0.0161,0.0995,15311,field
516.42,0.04988907321533541,0.0075760963510832415,0.0176,0.1029,15311,field
519.61,0.04900080987525304,0.006971851072564886,0.0163,0.0984,15311,field
522.81,0.05082965188426641,0.006735304093421843,0.017,0.0992,15311,field
526.01,0.05565754033048139,0.006910306235215452,0.0179,0.1034,15311,field
529.2,0.05642109594409249,0.006686314664225017,0.0174,0.1024,15311,field
532.4,0.06069470968584682,0.006958553286865706,0.0197,0.1061,15311,field
535.6,0.0627732218666323,0.0070735365782191644,0.0199,0.1096,15311,field
538.79,0.0660640585200185,0.007358565799171913,0.0203,0.114,15311,field
541.99,0.06666445692639252,0.0073951953502975135,0.0201,0.1146,15311,field
545.19,0.06686003526876075,0.0074231235077578655,0.0199,0.1149,15311,field
548.38,0.06796319639474889,0.007547400273788231,0.021,0.1186,15311,field
551.58,0.06881149500359172,0.00767816390629115,0.0209,0.1183,15311,field
554.78,0.06972539350793575,0.007834958118173193,0.0206,0.1196,15311,field
557.97,0.07196865652145493,0.008165544649095437,0.0211,0.1251,15311,field
561.17,0.06967772843054004,0.008111284143920159,0.0193,0.1232,15311,field
564.37,0.0687560054862517,0.008234728776384216,0.0199,0.1232,15311,field
567.56,0.0679925021226574,0.008470954944843923,0.0199,0.125,15311,field
570.76,0.06768305140095347,0.008823050876501643,0.0187,0.1287,15311,field
573.96,0.06520682515838316,0.00894899830471557,0.0176,0.1286,15311,field
577.15,0.06331602116125651,0.009112722568296327,0.0176,0.129,15311,field
580.35,0.06261049572202984,0.009374652802932829,0.0176,0.1289,15311,field
583.55,0.06273853438704198,0.009733990841794635,0.0177,0.133,15311,field
586.74,0.06345192345372554,0.0101175733610139,0.0179,0.1352,15311,field
589.94,0.06374392920122801,0.010468133577152575,0.0175,0.1372,15311,field
593.14,0.06203785513682933,0.010399130996586818,0.0173,0.1344,15311,field
596.33,0.06207336555417695,0.010581972946251853,0.0176,0.1364,15311,field
599.53,0.06200956175298806,0.01072368244267078,0.0171,0.1377,15311,field
602.73,0.06306333355104232,0.011060494823989905,0.0181,0.1384,15311,field
605.92,0.06329407615439935,0.01132264689192727,0.0167,0.1391,15311,field
609.12,0.0628146691920844,0.011532786039834073,0.016,0.1423,15311,field
612.32,0.061831545947358284,0.011699766764570943,0.0166,0.1412,15311,field
615.51,0.06186857814643052,0.012067694952209615,0.0166,0.1434,15311,field
618.71,0.06064144079420045,0.012149708572937913,0.0157,0.1439,15311,field
621.91,0.06110090131278153,0.012520126572967536,0.0168,0.1454,15311,field
625.1,0.061816831036509666,0.012835148947596263,0.0167,0.149,15311,field
628.3,0.061853987329371356,0.01298107675155978,0.0165,0.1483,15311,field
631.5,0.06115328848540247,0.01296137146888116,0.0163,0.1483,15311,field
634.69,0.061620704068970064,0.013157992300703698,0.0159,0.1485,15311,field
637.89,0.0615365619489258,0.013394838864471634,0.0159,0.1491,15311,field
641.09,0.06216703677094846,0.01383920720295855,0.0164,0.1501,15311,field
644.28,0.06227459342956006,0.014314269341561322,0.0163,0.1562,15311,field
647.48,0.06260116909411526,0.014840907085718318,0.0166,0.1592,15311,field
650.67,0.059043602638625674,0.014455958636374406,0.0157,0.1535,15311,field
653.87,0.058970779178368446,0.014746249701144043,0.0156,0.1533,15311,field
657.07,0.058991973091241684,0.01499693838446502,0.0158,0.1554,15311,field
660.27,0.05509856965580303,0.014440221059161677,0.0145,0.1499,15311,field
663.46,0.05721913003722791,0.015369797307994556,0.0151,0.1548,15311,field
666.66,0.0570103977532494,0.015760008306912276,0.0154,0.1582,15311,field
