wavelength_nm,mean,std,min,max,n_pixels,class_name
414.13,0.012979803341158797,0.003849243312882819,0.003,0.0369,29391,forest
417.32,0.013279636623456145,0.003945792882798271,0.0027,0.0385,29391,forest
420.52,0.013733170018032727,0.0040900132837301964,0.0032,0.0383,29391,forest
423.72,0.014125388724439452,0.004229078420285062,0.0035,0.0364,29391,forest
426.91,0.015289238202170779,0.004472916593542171,0.0047,0.0428,29391,forest
430.11,0.01695778299479441,0.004816454928568975,0.005,0.0461,29391,forest
433.31,0.014225392126841558,0.004587249811391451,0.0035,0.0406,29391,forest
436.5,0.015491960123847544,0.004811870919020543,0.0041,0.0426,29391,forest
439.7,0.015341570548807457,0.004862038020796167,0.0039,0.0441,29391,forest
442.9,0.015497978973155012,0.0049638829617081656,0.005,0.0417,29391,forest
446.09,0.015817352250689032,0.005073765059594725,0.0052,0.0431,29391,forest
449.29,0.015004402708312112,0.005043804139773137,0.004,0.0414,29391,forest
452.49,0.015945071620564088,0.005252225256701478,0.0053,0.0444,29391,forest
455.68,0.015228447483923543,0.005176307573015963,0.0042,0.0421,29391,forest
458.88,0.016445561566465816,0.005428039618835929,0.0046,0.0452,29391,forest
462.08,0.016082079548160953,0.0054165325767271885,0.0052,0.0459,29391,forest
465.27,0.015647436290020734,0.005362251982078764,0.005,0.045,29391,forest
468.47,0.015142285053247542,0.005308126776172877,0.0047,0.045,29391,forest
471.67,0.015430135075363166,0.0054177362984600035,0.0045,0.0444,29391,forest
474.86,0.0158929808444763,0.0055801616049050455,0.0053,0.0451,29391,forest
478.06,0.016744404749753455,0.00584547185869566,0.0057,0.047,29391,forest
481.26,0.017334405089993437,0.006021541712824497,0.0062,0.0483,29391,forest
484.45,0.017550719608043153,0.006063112948652268,0.0059,0.0494,29391,forest
487.65,0.01664910686944985,0.0057740105199089375,0.0055,0.0466,29391,forest
490.85,0.016543884182232616,0.00592492402267226,0.0049,0.0471,29391,forest
494.04,0.016505144431968977,0.006023100935956428,0.0052,0.0463,29391,forest
497.24,0.017802636861624067,0.006381204446012065,0.0059,0.0487,29391,forest
500.43,0.01880524990643394,0.006638673336281375,0.0062,0.0515,29391,forest
503.63,0.01762203055357091,0.006516458303917454,0.0056,0.0484,29391,forest
506.83,0.018573872954305674,0.00689672868254508,0.0061,0.0496,29391,forest
510.03,0.019293021673301117,0.007224781599779915,0.0058,0.0487,29391,forest
513.22,0.020697080739001842,0.00777937049457394,0.0066,0.0529,29391,forest
516.42,0.022817682283692076,0.008570356025239539,0.0072,0.0557,29391,forest
519.61,0.022287400905039043,0.008706142201329882,0.0068,0.0526,29391,forest
522.81,0.023393259841447925,0.009238564738116382,0.0066,0.0544,29391,forest
526.01,0.025730580790037746,0.010109647752469066,0.0072,0.0589,29391,forest
529.2,0.02597502636861614,0.010332108420923882,0.0068,0.061,29391,forest
532.4,0.027869306930693,0.010996796158411275,0.0075,0.0658,29391,forest
535.6,0.028893133952570486,0.011399313020542387,0.0075,0.0679,29391,forest
538.79,0.030494750093566152,0.01194554575081321,0.0083,0.0713,29391,forest
541.99,0.030562420468851,0.012031317028158066,0.008,0.0716,29391,forest
545.19,0.030579949644448854,0.012082138014885191,0.008,0.0718,29391,forest
548.38,0.030836215167908625,0.01220503314394322,0.0078,0.0733,29391,forest
551.58,0.03116918104181541,0.012379536292701353,0.0081,0.0734,29391,forest
554.78,0.031543584770848135,0.012525590882063386,0.0077,0.0729,29391,forest
557.97,0.03226532612024098,0.012738948340677164,0.0088,0.0751,29391,forest
561.17,0.030700258582559085,0.012169787385558161,0.0079,0.0719,29391,forest
564.37,0.029896049811166513,0.011872686051852304,0.0076,0.0699,29391,forest
567.56,0.029246942941716956,0.011604833065897692,0.0076,0.0683,29391,forest
570.76,0.028794692252730326,0.011374655051608812,0.0078,0.0676,29391,forest
573.96,0.027450678779218057,0.010834937227066552,0.0077,0.0651,29391,forest
577.15,0.026262498724099238,0.010358127201310732,0.0071,0.0629,29391,forest
580.35,0.025796546561872746,0.010113155772692815,0.0069,0.0638,29391,forest
583.55,0.02579218808478792,0.010049524738921706,0.0071,0.0645,29391,forest
