wavelength_nm,mean,std,min,max,n_pixels,class_name
414.13,0.02181528179422911,0.004628760723432348,0.0077,0.0656,15561,green areas
417.32,0.022432099479468014,0.0046566644912907065,0.0076,0.0686,15561,green areas
420.52,0.02303920699183863,0.004737199162021872,0.0088,0.0713,15561,green areas
423.72,0.023454938628622864,0.0047997464249000974,0.008,0.0653,15561,green areas
426.91,0.025152766531713843,0.005019122068331563,0.0099,0.0722,15561,green areas
430.11,0.02719390784653939,0.005268136517701699,0.0108,0.0763,15561,green areas
433.31,0.023722717049032817,0.004887713989313871,0.008,0.0659,15561,green areas
436.5,0.025806214253582604,0.005159722827653186,0.01,0.0701,15561,green areas
439.7,0.02610489043120624,0.005254009717634125,0.0105,0.0735,15561,green areas
442.9,0.02622977957714801,0.005335516758834268,0.0095,0.074,15561,green areas
446.09,0.026311895122421453,0.005375506840531328,0.0094,0.0769,15561,green areas
449.29,0.025338795707216845,0.005309767210508522,0.0088,0.0762,15561,green areas
452.49,0.026649714028661436,0.005541057440561637,0.0098,0.0712,15561,green areas
455.68,0.02575398110661247,0.005504779040033448,0.009,0.0734,15561,green areas
458.88,0.02767106227106214,0.005931709695038367,0.0088,0.0771,15561,green areas
462.08,0.027339939592571087,0.0060368127728077205,0.0089,0.0781,15561,green areas
465.27,0.026850549450549554,0.006112782856820621,0.0082,0.0786,15561,green areas
468.47,0.0265532677848468,0.0061753681672305485,0.0087,0.0758,15561,green areas
471.67,0.027108039329091834,0.006427577175502352,0.009,0.0765,15561,green areas
474.86,0.027916631321894404,0.006659612743272183,0.0086,0.0764,15561,green areas
478.06,0.029455292076344765,0.007000176580115439,0.0097,0.08,15561,green areas
481.26,0.03062846860741586,0.007161016143763485,0.0098,0.083,15561,green areas
484.45,0.03111652207441692,0.00728932064821616,0.0097,0.0855,15561,green areas
487.65,0.02974465008675524,0.007162864086583035,0.0093,0.0818,15561,green areas
490.85,0.030021843069211494,0.007139492186783294,0.0083,0.0819,15561,green areas
494.04,0.030164231090546965,0.007117749235466528,0.0085,0.0831,15561,green areas
497.24,0.03220803932909216,0.007394394824810775,0.0096,0.087,15561,green areas
500.43,0.03380754450228124,0.007673277229236822,0.0096,0.0905,15561,green areas
503.63,0.032304292783240034,0.007312481552465363,0.0092,0.0873,15561,green areas
506.83,0.03384747766853041,0.007334866656072954,0.0097,0.0879,15561,green areas
510.03,0.03485452091767891,0.007275190986165427,0.0102,0.0901,15561,green areas
513.22,0.036891800012852714,0.0073410059588953774,0.0102,0.0917,15561,green areas
516.42,0.04027146712936193,0.007537473099984979,0.0108,0.0992,15561,green areas
519.61,0.039264526701368756,0.006967722953594197,0.0103,0.0921,15561,green areas
522.81,0.040807415975837154,0.006811517749269319,0.0103,0.0931,15561,green areas
526.01,0.044419638840691326,0.007041929957776026,0.0108,0.0977,15561,green areas
529.2,0.04483031938821384,0.006859201573675971,0.0106,0.0964,15561,green areas
